2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing IcnsImagePlugin
2025-10-05 19:40:38 | WARNING | tracer          | OCR language 'fra' may not be available. Falling back to English.
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing IcoImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing ImImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing ImtImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing IptcImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing JpegImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing Jpeg2KImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing McIdasImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing MicImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Image: failed to import MicImagePlugin: No module named 'olefile'
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing MpegImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing MpoImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing MspImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PalmImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PcdImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PcxImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PdfImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PixarImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PngImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PpmImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing PsdImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing QoiImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing SgiImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing SpiderImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing SunImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing TgaImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing TiffImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing WebPImagePlugin
